es_siniestro_vial,fecha_siniestro,hora_aprox,tipo_ubicacion,ubicacion_calle1,ubicacion_calle2,altura,ruta_nombre,kilometro,ciudad,vehiculos_involucrados,hubo_peatones,cantidad_heridos,cantidad_fallecidos,gravedad,resumen_breve,url,clima_real,lluvia_mm;,lluvia_mm
True,2026-08-10,Desconocido,interseccion,Avenida Presidente Peron,Lavalle,,,,Rosario,"Chevrolet Aveo, Ford EcoSport, Volkswagen Suran",False,1,0,Leve,Triple choque en cadena en Avenida Presidente Perón deja una mujer herida y cortes en el tránsito.,https://www.rosario3.com/informaciongeneral/fuerte-triple-choque-en-zona-oeste-dejo-heridos-y-genero-cortes-en-avenida-peron-20260811-0031.html,Nublado,0.0;,0.0
True,2026-08-10,21:30,interseccion,Mendoza,Servando Bayo,,,,Rosario,Chevrolet Aveo,False,0,0,Leve,Un conductor se descompensó y chocó su vehículo contra la fachada de un local en el barrio Echesortu.,https://www.rosario3.com/policiales/un-automovilista-se-descompenso-perdio-el-control-y-choco-contra-el-frente-de-un-local-de-echesortu-20260811-0011.html,Nublado,0.0;,0.0
True,2026-08-06,Desconocido,interseccion,Barra,27 de Febrero,,,,Rosario,"automóvil, moto",False,1,0,Grave,Automovilista chocó a un motociclista en Barra y 27 de Febrero y se dio a la fuga.,https://www.rosario3.com/informaciongeneral/video-asi-fue-el-choque-del-automovilista-que-embistio-una-moto-y-huyo-20260806-0041.html,Lluvia intensa,43.3;,43.3
True,2026-08-14,22:30,interseccion,avenida Rivarola,Fader,,,,Rosario,"colectivo Mercedes Benz linea 121, Peugeot Partner Patagónica, Peugeot 308, Peugeot 408",False,0,0,Leve,Un colectivo de la línea 121 chocó contra tres autos estacionados en avenida Rivarola y Fader sin heridos.,https://www.rosario3.com/informaciongeneral/choque-en-barrio-godoy-un-colectivo-colisiono-contra-tres-autos-estacionados-20260815-0004.html,Llovizna,2.6;,2.6
True,2026-07-31,01:55,altura,San Juan,,3940,,,Rosario,Citroën C3,False,0,0,Leve,Joven de 31 años volcó su Citroën C3 tras morder el cordón en San Juan al 3940. Sin heridos.,https://www.rosario3.com/informaciongeneral/mordio-el-cordon-con-su-auto-y-volco-en-echesortu-20260731-0008.html,Lluvia,9.4;,9.4
True,2026-07-27,12:00,interseccion,Paraguay,Gálvez,,,,Rosario,"Chevrolet, Peugeot, automóvil estacionado",False,2,0,Moderado,Triple choque en Paraguay y Gálvez dejó dos mujeres heridas tras colisión entre dos autos y uno estacionado.,https://www.rosario3.com/informaciongeneral/triple-choque-en-rosario-y-desvios-de-transito-hay-doble-cartel-de-pare-pero-no-frena-nadie-20260727-0054.html,Nublado,0.0;,0.0
True,2026-08-10,06:00,altura,San Juan,,1900,,,Rosario,Automóvil,False,0,0,Leve,Un conductor se distrajo colocándose el cinturón y chocó contra un árbol y el vallado de una escuela.,https://www.rosario3.com/informaciongeneral/se-distrajo-y-choco-contra-un-arbol-y-el-vallado-de-una-escuela-del-centro-de-rosario-20260810-0011.html,Nublado,0.0;,0.0
True,2026-08-18,Desconocido,interseccion,Ayacucho,Riobamba,,,,Rosario,"Volkswagen Fox, Fiat Palio",False,0,0,Leve,Violento choque entre un Volkswagen Fox y un Fiat Palio en la intersección de Ayacucho y Riobamba.,https://www.rosario3.com/informaciongeneral/violento-choque-entre-dos-autos-en-ayacucho-y-riobamba-20260818-0084.html,Llovizna,2.6;,2.6
True,2026-07-27,05:45,interseccion,Ruta 34,Circunvalación,,,,Rosario,"Peugeot, Bajaj Rouser 200",False,0,0,Leve,Choque entre un automóvil y una motocicleta en la intersección de Ruta 34 y Circunvalación sin heridos.,https://www.rosario3.com/informaciongeneral/fuerte-choque-entre-un-auto-y-un-moto-en-la-ruta-34-y-circunvalacion-de-rosario-20260727-0012.html,Nublado,0.0;,0.0
True,2026-07-17,23:30,interseccion,Brown,España,,,,Rosario,"Jeep Compact, Peugeot 208, Renault Clio",False,0,0,Leve,Un Jeep volcó tras chocar con un Peugeot 208 en Rosario; no se reportaron personas heridas.,https://www.lacapital.com.ar/la-ciudad/un-choque-impresionante-termino-un-jeep-dado-vuelta-el-centro-rosario-n10270192.html,Lluvia,10.5,10.5
True,2026-07-07,07:00,interseccion,Avenida Eva Perón,Colombia,,,,Rosario,Vehículo de gran porte,False,0,0,Leve,"Un vehículo de gran porte enganchó cables, provocando la caída de un semáforo en Avenida Eva Perón y Colombia.",https://www.lacapital.com.ar/la-ciudad/insolito-corte-transito-rosario-un-semaforo-se-partio-y-cayo-plena-calle-n10268399.html,Nublado,0.0;,0.0
True,2026-07-08,08:30,interseccion,avenida Rivarola,Danieri,,,,Rosario,"Motomel DLX 110, Renault 19, automovil estacionado",False,0,1,Fatal,Joven motociclista fallecio tras perder el control e impactar contra un auto estacionado en avenida Rivarola y Danieri.,https://www.lacapital.com.ar/la-ciudad/fallecieron-dos-motociclistas-la-zona-oeste-poco-mas-12-horas-diferencia-n10268604.html,Nublado,0.0;,0.0
True,2026-06-16,22:30,interseccion,Bulevar Oroño,Gaboto,,,,Rosario,"Motocicleta Yamaha Tenere 250, Colectivo Linea 129",False,0,1,Fatal,"Un motociclista falleció tras colisionar contra un colectivo en el cruce de Bulevar Oroño y Gaboto, en Rosario.",https://www.lacapital.com.ar/la-ciudad/fallecio-un-motociclista-luego-un-choque-un-colectivo-bulevar-orono-n10264915.html,Nublado,0.0;,0.0
True,2026-05-13,05:20,interseccion,Avenida San Martín,Amenábar,,,,Rosario,Fiat Palio,False,1,1,Fatal,Un conductor de 36 años falleció tras chocar su auto contra dos viviendas en la zona sur de Rosario.,https://www.lacapital.com.ar/la-ciudad/un-video-muestra-la-mecanica-del-choque-fatal-la-zona-sur-n10259130.html,Nublado,0.0;,0.0
True,2026-05-13,05:00,interseccion,Avenida San Martin,Amenabar,,,,Rosario,Fiat Palio,False,0,1,Fatal,"Automovilista de 36 años murió tras chocar su Fiat Palio contra dos viviendas en Avenida San Martín, Rosario.",https://www.lacapital.com.ar/la-ciudad/choque-estremecedor-y-vecinos-atrapados-un-automovilista-murio-la-colision-n10259091.html,Nublado,0.0;,0.0
True,2026-05-18,06:45,interseccion,Avenida Circunvalación,Avenida Uriburu,,,,Rosario,"Motocicleta, Camión, Toyota Hilux",False,0,1,Fatal,Un motociclista falleció tras colisionar con un camión y ser embestido posteriormente por una camioneta en Avenida Circunvalación.,https://www.lacapital.com.ar/la-ciudad/un-motociclista-fallecio-un-choque-un-camion-avenida-circunvalacion-n10259844.html,Despejado,0.0;,0.0
