es_siniestro_vial,fecha_siniestro,hora_aprox,tipo_ubicacion,ubicacion_calle1,ubicacion_calle2,altura,ruta_nombre,kilometro,ciudad,vehiculos_involucrados,hubo_peatones,cantidad_heridos,cantidad_fallecidos,gravedad,resumen_breve,url,clima_real,lluvia_mm
True,2026-08-10,21:30,interseccion,Mendoza,Servando Bayo,,,,Rosario,Chevrolet Aveo,False,0,0,Leve,Automovilista se descompensó y chocó su Chevrolet Aveo contra un local en Mendoza y Servando Bayo sin heridos graves.,https://www.rosario3.com/policiales/un-automovilista-se-descompenso-perdio-el-control-y-choco-contra-el-frente-de-un-local-de-echesortu-20260811-0011.html,Nublado,0.0
True,2026-08-10,Desconocido,interseccion,Avenida Presidente Perón,Lavalle,,,,Rosario,"Chevrolet Aveo, Ford EcoSport, Volkswagen Suran",False,1,0,Leve,Triple choque en cadena en avenida Perón involucró a tres vehículos y dejó una mujer herida trasladada preventivamente.,https://www.rosario3.com/informaciongeneral/fuerte-triple-choque-en-zona-oeste-dejo-heridos-y-genero-cortes-en-avenida-peron-20260811-0031.html,Nublado,0.0
True,2026-08-14,21:05,interseccion,Avenida Circunvalación,Avenida Pellegrini,,,,Rosario,"Motocicleta Motomel S2 150 cc, Camión con acoplado",False,2,0,Grave,Dos hombres en moto resultaron heridos tras caer debajo de un acoplado de camión en Circunvalación y Pellegrini.,https://www.rosario3.com/policiales/fuerte-choque-en-circunvalacion-dos-hombres-heridos-tras-caer-con-su-moto-debajo-de-un-acoplado-20260815-0003.html,Llovizna,2.6
True,2026-08-10,06:00,altura,San Juan,,1900,,,Rosario,automóvil,False,0,0,Leve,Conductor perdió el control por distraerse con el cinturón y chocó contra un árbol y vallado escolar en Rosario.,https://www.rosario3.com/informaciongeneral/se-distrajo-y-choco-contra-un-arbol-y-el-vallado-de-una-escuela-del-centro-de-rosario-20260810-0011.html,Nublado,0.0
True,2026-07-24,12:00,interseccion,Zeballos,Alem,,,,Rosario,"Taxi, Citroën",False,1,0,Leve,Un taxi chocó contra un local tras ser embestido por un Citroën en barrio Martín. Solo hubo un herido leve.,https://www.rosario3.com/informaciongeneral/taxista-perdio-el-control-y-choco-contra-el-frente-de-un-local-gastronomico-en-el-que-habia-un-cliente-pense-que-nos-iba-a-matar-20260724-0034.html,Llovizna,0.4
True,2026-07-31,01:55,altura,San Juan,,3940,,,Rosario,Citroën C3,False,0,0,Leve,Un conductor de 31 años volcó su Citroën C3 tras morder el cordón en San Juan al 3900.,https://www.rosario3.com/informaciongeneral/mordio-el-cordon-con-su-auto-y-volco-en-echesortu-20260731-0008.html,Lluvia,9.4
True,2026-07-27,05:45,interseccion,Ruta 34,Circunvalacion,,,,Rosario,"Peugeot, moto Bajaj Rouser 200",False,0,0,Leve,Choque entre un auto Peugeot y una moto Bajaj Rouser 200 en Ruta 34 y Circunvalacion sin lesionados.,https://www.rosario3.com/informaciongeneral/fuerte-choque-entre-un-auto-y-un-moto-en-la-ruta-34-y-circunvalacion-de-rosario-20260727-0012.html,Nublado,0.0
True,2026-07-27,12:00,interseccion,Paraguay,Gálvez,,,,Rosario,"Chevrolet, Peugeot, Automóvil estacionado",False,2,0,Moderado,Triple choque en Paraguay y Gálvez dejó dos mujeres heridas tras ignorar una señal de pare en Rosario.,https://www.rosario3.com/informaciongeneral/triple-choque-en-rosario-y-desvios-de-transito-hay-doble-cartel-de-pare-pero-no-frena-nadie-20260727-0054.html,Nublado,0.0
True,2026-08-06,Desconocido,interseccion,Barra,27 de Febrero,,,,Rosario,"automovil, motocicleta",False,1,0,Grave,Automovilista chocó a un motociclista en Barra y 27 de Febrero y huyó. El motociclista sufrió fractura de fémur.,https://www.rosario3.com/informaciongeneral/video-asi-fue-el-choque-del-automovilista-que-embistio-una-moto-y-huyo-20260806-0041.html,Lluvia intensa,43.3
True,2026-08-14,22:30,interseccion,Avenida Rivarola,Fader,,,,Rosario,"Colectivo Linea 121, Peugeot Partner Patagónica, Peugeot 308, Peugeot 408",False,0,0,Leve,Un colectivo de la línea 121 chocó contra tres autos estacionados en barrio Godoy; solo se registraron daños materiales.,https://www.rosario3.com/informaciongeneral/choque-en-barrio-godoy-un-colectivo-colisiono-contra-tres-autos-estacionados-20260815-0004.html,Llovizna,2.6
